,,,
Execução orçamentária por FUNÇÃO (2022 - 2023 - 2024),,,
Função,Orçamento Atualizado(R$),Orçamento Realizado (R$),
Educação,"R$ 952.877.052,08","R$ 854.841.928,81",
Previdência Social,"R$ 110.392.404,12","R$ 101.109.262,69",
Encargos Especiais,"R$ 150.007,62","R$ 136.950,81",
TOTAL - GERAL,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Distribuição do Orçamento Realizado por Categoria Econômica (2022-2024),,,
ANO,DESPESA CORRENTE,DESPESSA DE CAPITAL,
2022,"R$ 280.165.144,30","R$ 2.217.214,99",
2023,"R$ 316.630.654,91","R$ 3.384.424,02",
2024,"R$ 350.182.949,92","R$ 4.507.754,17",
TOTAL - GERAL,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Top 10 Elementos de Despesa por Orçamento Realizado (2022-2024),,,
Elemento de Despesa,Orçamento Realizado (R$),TOTAL,
11 - Vencimentos e Vantagens Fixas - Pessoal Civil,"R$ 178.949.685,79","R$ 510.137.217,19",
,"R$ 170.130.081,43",,
,"R$ 161.057.449,97",,
13 - Obrigações Patronais,"R$ 44.952.691,39","R$ 125.771.168,65",
,"R$ 42.519.385,44",,
,"R$ 38.299.091,82",,
"01 - Aposentadorias, Reserva Remunerada e Reformas","R$ 28.230.434,41","R$ 72.575.199,86",
,"R$ 23.717.537,69",,
,"R$ 20.627.227,76",,
37 - Locação de Mão-de-Obra,"R$ 19.333.923,28",,
,,,
,,,
,,,
,,,
FUNÇÃO,ANO,Orçamento Atualizado,Orçamento Realizado
EDUCAÇÃO,2022,"R$ 281.512.843,88","R$ 252.777.111,56"
EDUCAÇÃO,2023,"R$ 318.309.722,95","R$ 285.737.811,32"
EDUCAÇÃO,2024,"R$ 353.054.485,25","R$ 316.327.005,93"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
FUNÇÃO,ANO,Orçamento Atualizado,Orçamento Realizado
PREVIDÊNCIA SOCIAL,2022,"R$ 31.727.233,23","R$ 29.576.859,73"
PREVIDÊNCIA SOCIAL,2023,"R$ 36.453.630,79","R$ 33.233.071,41"
PREVIDÊNCIA SOCIAL,2024,"R$ 42.211.540,10","R$ 38.299.331,55"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
FUNÇÃO,ANO,Orçamento Atualizado,Orçamento Realizado
ENCARGOS ESPECIAIS,2022,"R$ 39.269,66","R$ 28.388,00"
ENCARGOS ESPECIAIS,2023,"R$ 44.871,20","R$ 44.196,20"
ENCARGOS ESPECIAIS,2024,"R$ 65.866,76","R$ 64.366,61"
